regressor,Rent,livingspace,NoOfRooms,lat,lon,distanceShop,dum_balcony,dum_builtinkitchen,dum_floorplan,dum_garden,dum_privateoffer,ost,sachsenanhalt,brandenburg,sachsen,thueringen,mecklenburg,baden,bayern,berlin,bremen,hamburg,niedersachsen,nrw,rheinland,saarland,schleswig,einwohner
Rent,1,0.6553839085067336,0.35970736919889346,-0.1892509876739105,-0.2198340980469075,0.001559529595705673,0.2566231459149147,0.3001412003362766,0.060833339062827604,0.05527161657687848,0.23467179301610352,-0.4502901452788632,-0.18121202056000343,-0.09385791446835692,-0.21473813686419954,-0.09691976124743072,-0.12376872935406957,0.1763880875062099,0.2690244202059753,0.24325318074518545,-9.345274944513012e-4,0.15145081663711396,0.030430561020820156,0.03848879967826141,0.05836791813798992,0.0015341138340973946,0.07748997791292254,-0.020822825101682603
livingspace,0.6553839085067336,1,0.747166064884525,-0.07097422440769313,-0.16180726747307406,0.0072753200732492635,0.22914874786793413,0.06506410668812239,0.04026807166012141,0.09908731021079228,0.15518451949528175,-0.21400787590025244,-0.08430709832521477,-0.04746898169723989,-0.09919137864958039,-0.03324457268214732,-0.07463167592088032,0.08020666023981854,0.0535144693431136,0.029210897091924464,-0.005579819589783841,0.0254375584918455,0.05234932354778511,0.049528197150795275,0.1259751717356358,0.0061837690814942154,0.06147637927374091,-0.030678911475964632
ost,-0.4502901452788632,-0.21400787590025244,-0.06892153885864802,0.1361354452178948,0.7849330457759693,0.012033329251379695,-0.12427251669806351,-0.25002529595966777,0.17454812483467191,0.0018726354587503137,-0.324334494723886,1,0.32363501376823534,0.23946936030808635,0.5328420844610493,0.2146918093603593,0.24657871012971902,-0.1761737463774662,-0.22734104278817766,-0.18109819928775733,-0.1040365774660453,-0.10708186749184648,-0.23742114988636748,-0.5057612536434067,-0.20666662230336863,-0.052919330165576546,-0.241459039518683,0.004018092769841394
NoOfRooms,0.35970736919889346,0.747166064884525,1,0.021570247660767,-0.07356693093901684,0.008623790545560431,0.1735592298115937,-0.07139097543239982,0.027965310907802167,0.05284064080642373,0.055404234081580246,-0.06892153885864802,-0.00626303750056001,0.005123418519879834,-0.07806132452656417,-0.004508315477405582,0.004536795780136637,0.033482937636421774,-0.007952145225947232,-0.03749967683423985,-0.003879157418151339,-0.004875711478042469,0.03339059600948955,0.02713486861689787,0.06054857142749737,-0.004339934975921459,0.046984606233336605,-0.021259874651941416
dum_builtinkitchen,0.3001412003362766,0.06506410668812239,-0.07139097543239982,0.018998012471902716,-0.0959778226225037,-0.005450060952434295,0.07253383711868207,1,-0.029338932028395322,0.09156154533733338,0.26719923560305375,-0.25002529595966777,-0.1124805087346353,-0.0808269296707192,-0.12612131282070974,-0.06451869811484837,-0.004441919544006383,0.12252223035744281,0.10982986625145406,0.09888406990977452,0.015024519555232735,0.11614512013258285,0.06990440768728581,-0.10587336266230614,0.05930879617873447,0.002806210633830215,0.2315670051017676,-0.0881413200414706
bayern,0.2690244202059753,0.0535144693431136,-0.007952145225947232,-0.43943227332898444,0.049349129230665124,-5.8508140552279284e-5,0.07030099089631091,0.10982986625145406,0.005558372162798552,0.020715621972281984,0.1726231925936419,-0.22734104278817766,-0.07357552151283685,-0.05444121408825815,-0.12113687512280114,-0.04880825981806471,-0.05605746109025409,-0.03420028951923836,1,-0.03515626462176564,-0.020196431892331737,-0.020787608515943405,-0.04609013676025707,-0.09818251389827908,-0.04011981615918199,-0.01027313348351645,-0.04687400494329517,-0.052566466633813515
dum_balcony,0.2566231459149147,0.22914874786793413,0.1735592298115937,-0.04544383435295178,-0.0740633050732378,-0.0073080586391242215,1,0.07253383711868207,0.12119383137976553,-0.008688751527839123,0.062322529537674275,-0.12427251669806351,-0.031688047278755585,-0.032303985107097845,-0.0749861168847292,-0.017564239390737812,-0.031680353070946535,0.051011721218835356,0.07030099089631091,0.0398520575656933,-0.018296797162165392,0.024336516744453925,0.026451574913437657,0.014902087816278676,0.036249158333680545,-4.751085693663493e-4,0.043319187303767756,0.03605473078712979
berlin,0.24325318074518545,0.029210897091924464,-0.03749967683423985,0.12489885351046283,0.1767096291726303,-0.005581371661670338,0.0398520575656933,0.09888406990977452,-0.0012457534105543607,-0.01853994422469292,-0.01029738910894785,-0.18109819928775733,-0.058609718219895995,-0.04336746993638552,-0.09649674200063109,-0.03888030007699154,-0.044654960387189975,-0.027243698590864868,-0.03515626462176564,1,-0.016088328807161215,-0.016559255748834656,-0.036715063280439414,-0.07821146701209812,-0.03195914988809734,-0.008183502424773524,-0.03733948689830517,-0.002053512247158863
dum_privateoffer,0.23467179301610352,0.15518451949528175,0.055404234081580246,-0.1991294104714742,-0.26202967772837876,0.011870962571914678,0.062322529537674275,0.26719923560305375,-0.0826877586233162,0.16255855166404828,1,-0.324334494723886,-0.11283440839510345,-0.06410767248072773,-0.19807219302222406,-0.03911507283259563,-0.0664746009829725,0.1706230730789922,0.1726231925936419,-0.01029738910894785,-0.017333328938941447,0.01737274785373905,0.0306477857824761,0.10239050838884395,0.1729861811870088,0.026410231070642616,0.015798788049382815,-0.053899787027444974
lon,-0.2198340980469075,-0.16180726747307406,-0.07356693093901684,0.14078933365345594,1,0.007817406944152065,-0.0740633050732378,-0.0959778226225037,0.1882153588643639,0.015409889729683846,-0.26202967772837876,0.7849330457759693,0.13356705697000668,0.30046754441867957,0.5222480220683082,0.04698581476594553,0.16161318633299915,-0.1292494441694255,0.049349129230665124,0.1767096291726303,-0.08550392056542233,-0.0331713390899049,-0.11481266608747874,-0.7170031838146624,-0.2523603107261575,-0.07759748115183429,-0.08094040862899968,-0.042501589294714426
sachsen,-0.21473813686419954,-0.09919137864958039,-0.07806132452656417,-0.2069376728593847,0.5222480220683082,0.01468644514035011,-0.0749861168847292,-0.12612131282070974,0.1908356426442956,0.09547458021472678,-0.19807219302222406,0.5328420844610493,-0.20194972911287448,-0.1494299763241435,1,-0.13396867118378797,-0.15386624313573025,-0.09387278624708124,-0.12113687512280114,-0.09649674200063109,-0.055435066797201046,-0.057057725482337306,-0.12650798040059136,-0.2694908806309862,-0.1101206738166513,-0.02819764619370828,-0.12865953792909798,-0.04432028409180249
lat,-0.1892509876739105,-0.07097422440769313,0.021570247660767,1,0.14078933365345594,-0.01640424760337014,-0.04544383435295178,0.018998012471902716,-0.028597028283928946,-0.07024617315635504,-0.1991294104714742,0.1361354452178948,0.051621269737503764,0.20818816235977283,-0.2069376728593847,-0.10132556659543894,0.4539576341476383,-0.33631770500220026,-0.43943227332898444,0.12489885351046283,0.1322096897821879,0.15333797836866736,0.17078210298970353,-0.05532758707533222,-0.2221689083801493,-0.08235736286812269,0.4192113857703073,-0.011331016886569359
sachsenanhalt,-0.18121202056000343,-0.08430709832521477,-0.00626303750056001,0.051621269737503764,0.13356705697000668,0.003008614800520913,-0.031688047278755585,-0.1124805087346353,0.009157179711824991,-0.08529900914496556,-0.11283440839510345,0.32363501376823534,1,-0.09076004665428505,-0.20194972911287448,-0.08136923491493997,-0.09345452464789095,-0.057015992834472874,-0.07357552151283685,-0.058609718219895995,-0.033669879180623676,-0.03465544166005208,-0.07683779711234485,-0.16368205028632396,-0.06688455515458541,-0.01712654814674216,-0.07814459957909392,0.13729102809595173
baden,0.1763880875062099,0.08020666023981854,0.033482937636421774,-0.33631770500220026,-0.1292494441694255,0.0013738212216803573,0.051011721218835356,0.12252223035744281,-0.029176906219672144,0.0036241778616976045,0.1706230730789922,-0.1761737463774662,-0.057015992834472874,-0.04218821434809085,-0.09387278624708124,-0.03782306037157125,-0.04344069514047586,1,-0.03420028951923836,-0.027243698590864868,-0.015650852245120656,-0.016108973661628317,-0.03571670106074888,-0.07608472755328176,-0.031090111270950203,-0.00796097524067924,-0.036324145245829824,-0.032937593078050116
hamburg,0.15145081663711396,0.0254375584918455,-0.004875711478042469,0.15333797836866736,-0.0331713390899049,-0.0012920373765986917,0.024336516744453925,0.11614512013258285,0.006986729631337021,-0.005734059829805214,0.01737274785373905,-0.10708186749184648,-0.03465544166005208,-0.025642826308867755,-0.057057725482337306,-0.02298959988151076,-0.026404108764421,-0.016108973661628317,-0.020787608515943405,-0.016559255748834656,-0.00951289576742997,1,-0.021709313270993704,-0.04624579360739446,-0.018897181015209867,-0.004838837303270988,-0.022078529792030645,-0.022913818043081312
mecklenburg,-0.12376872935406957,-0.07463167592088032,0.004536795780136637,0.4539576341476383,0.16161318633299915,-0.005506589979798508,-0.031680353070946535,-0.004441919544006383,-0.02765359448114541,-0.009321840722691455,-0.0664746009829725,0.24657871012971902,-0.09345452464789095,-0.06915041414942007,-0.15386624313573025,-0.0619955200642671,1,-0.04344069514047586,-0.05605746109025409,-0.044654960387189975,-0.02565320507788805,-0.026404108764421,-0.05854300089649521,-0.12470995755698089,-0.05095958915443045,-0.013048780173156591,-0.059538658513677754,-0.17048584356641103
thueringen,-0.09691976124743072,-0.03324457268214732,-0.004508315477405582,-0.10132556659543894,0.04698581476594553,-0.0034432560016294965,-0.017564239390737812,-0.06451869811484837,0.019190890928261217,-5.744859385831482e-4,-0.03911507283259563,0.2146918093603593,-0.08136923491493997,-0.060208067127721816,-0.13396867118378797,1,-0.0619955200642671,-0.03782306037157125,-0.04880825981806471,-0.03888030007699154,-0.022335801055844456,-0.02298959988151076,-0.050972376249521334,-0.10858279864906659,-0.0443696310767042,-0.011361346743385868,-0.05183927808068057,0.015433234855982188
brandenburg,-0.09385791446835692,-0.04746898169723989,0.005123418519879834,0.20818816235977283,0.30046754441867957,0.00343719250275302,-0.032303985107097845,-0.0808269296707192,0.017385950457546567,-0.04662977704641444,-0.06410767248072773,0.23946936030808635,-0.09076004665428505,1,-0.1494299763241435,-0.060208067127721816,-0.06915041414942007,-0.04218821434809085,-0.05444121408825815,-0.04336746993638552,-0.024913572654436545,-0.025642826308867755,-0.056855090886898746,-0.12111432387860235,-0.04949032384002056,-0.012672558142683026,-0.05782204173414395,0.07173015924575149
